ID,Bio_Origin,Plant_Origin,Orphan_Drug,Homeopathic,Early_Termination,Manual_URL,Shelf_Life,Shelf_Life_Value,Shelf_Life_Unit
8C32AAEBB9225539C2258921002BAB70,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/9DDBFFA757F9D12FC2258B0400726EFB/$file/UA192190101_4AF9.mht,2 роки,2.0,рік
68B9A672A8BE20A0C2258B5B003B04C9,False,False,False,False,False,,2 роки,2.0,рік
31B06FD962023B5FC2258921002B99F2,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/53B01DA681B543FC422589AC004AE542/$file/UA197790101_1186.mht,2 роки з дати виробництва in bulk.,2.0,рік
C6B5A560BF577B88C2258B5B003CF246,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/58F9FECA1D92CCE7422589AA0039616B/$file/UA178460101_2210.mht,3 роки,3.0,рік
F6437CE01D60EE47C2258AB4004B3143,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/E4FA46D0EE7D1D5042258BD90040B54B/$file/UA178460101_652D.mht,3 роки,3.0,рік
2DECD5A88385284FC2258AB4004B1460,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/A9FCC3C8265057F442258A7B003FC88E/$file/UA197650101_CF9B.pdf,3 роки,3.0,рік
D0C7298C79BB80B0C2258AB4004B209D,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/C781AF9E97D717B442258B8C00287357/$file/UA175400101_9974.pdf,2 роки,2.0,рік
CD7BC96C58037678C2258B56003D94AE,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/CE9FD984863E8F6542258A7B003FF553/$file/UA172190101_18B3.pdf,2 роки,2.0,рік
9FD0CC25EF8E801FC2258B56003D8198,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/60C283B1D07C998042258A0D003D7C62/$file/UA68000101_11AC.mht,3 роки,3.0,рік
9B17301F64AF816EC2258BB200281E6B,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/3B735AD5F48B83FE42258A0D003D7288/$file/UA98480101_0A0A.mht,3 роки,3.0,рік
42757CB7C4D9F583C2258BB20027F2F9,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/ED7A91DC0CA6B41842258A60002B12F0/$file/UA98480102_D59B.mht,3 роки,3.0,рік
45D02E7C25380073C2258875003FA5AC,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/A1DAB4B83F362DD342258AAE0053FD23/$file/UA191520101_4DC1.mht,2 роки.,2.0,рік
66FCBB4048C9A3E2C2258875003F4E0A,False,False,False,False,True,http://www.drlz.com.ua/ibp/lz_www.nsf/id/E27E3EFCED44FC4442258A2F003DB541/$file/UA70600101_BC93.mht,3 роки,3.0,рік
5056C64D4DE40B89C22587D800368A88,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/DAF0BCA31D2A1E1E42258B9B003D5100/$file/UA70600101_6862.mht,3 роки,3.0,рік
3EC7439919381D27C22587D800367510,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/A3E3F9DDA01F4A8142258BCF002C53A1/$file/UA200580101_993A.mht,3 роки,3.0,рік
003C5A6A4C4FA46BC2258875003E9AB6,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/C848DBB15BF1DD1542258BCF002C539B/$file/UA200580102_19D7.mht,3 роки,3.0,рік
B1C738AC12BD4E18C2258875003C273C,False,False,False,False,False,http://www.drlz.com.ua/ibp/lz_www.nsf/id/38631912367AF906422589DD003C5D59/$file/UA101820102_0F53.mht,3 роки,3.0,рік
